,0
"('800.1',)",28739.552552673267
"('800.2',)",28739.552552673267
"('802.3',)",13628.76884757844
"('802.1',)",10167.306393129766
"('802.2',)",10167.306393129766
"('800.3',)",10067.272233797345
"('806.1',)",9282.678404143357
"('806.2',)",4565.61348071925
"('806.3',)",553.166797444203
"('808.1',)",214.44311968696738
"('808.2',)",152.72769232602747
"('808.3',)",28.1291070905437
"('810.2',)",28.1291070905437
"('812.1',)",25.97571884304439
"('812.2',)",25.97571884304439
"('812.3',)",17.23870319618614
"('814.1',)",13.885587485687397
"('814.2',)",13.885587485687397
"('814.3',)",7.830457402044165
"('814r.1',)",7.830457402044165
"('850.1',)",5.875598159688032
"('814r.2',)",5.745773316083634
"('814r.3',)",5.745773316083634
"('850.2',)",5.382170283440528
"('850.3',)",5.382170283440528
"('816.1',)",4.339700122565662
"('816.2',)",3.0079548559876192
"('816.3',)",3.0079548559876192
"('818.1',)",2.1433959580759017
"('824.3',)",1.88660927898473
"('826.2',)",1.4500188524897373
"('828.1',)",1.3802607282566173
"('824.2',)",1.3602007667680414
"('824.1',)",1.3602007667680414
"('822.1',)",1.3400223314087774
"('820.1',)",1.3400223314087774
"('828.2',)",0.7786522123581137
"('828.3',)",0.6602716933666931
"('830.1',)",0.6602716933666931
"('830.2',)",0.6126616615588392
"('830.3',)",0.6126616615588392
"('854.3',)",0.5336477430429922
"('832.1',)",0.45156767629842853
"('832.2',)",0.36667634439885227
"('832.3',)",0.3562800699531294
"('854.1',)",0.35506131891607007
"('854.2',)",0.35506131891607007
"('858.1',)",0.2200457173546668
"('858.2',)",0.2107188433692307
"('858.3',)",0.2107188433692307
"('834.1',)",0.20040512366232846
"('834.2',)",0.19415280962613543
"('860.1',)",0.184825798562862
"('860.2',)",0.16689423750655774
"('860.3',)",0.16689423750655774
"('836.1',)",0.1276397399778153
"('842.2',)",0.12546402835025083
"('842.1',)",0.12546402835025083
"('836.2',)",0.12057763332072947
"('836.3',)",0.08878265631909792
"('840.2',)",0.0826779600586603
"('840.1',)",0.08187650841854094
"('840.3',)",0.0773578681614266
"('834.3',)",0.07515819544698704
"('862.1',)",0.07300262168129394
"('844.2',)",0.06046381635345229
"('842.3',)",0.050362736914238364
"('846.2',)",0.04991712766130587
"('846.1',)",0.04858336111432875
"('844.3',)",0.04858336111432875
"('856.2',)",0.04057574873936315
"('888.3',)",0.04057574873936315
"('852.1',)",0.039396695144326886
"('888.2',)",0.03763476468432786
"('888.1',)",0.03672336656535865
"('844.1',)",0.03338842014226212
"('862.3',)",0.03338842014226212
"('848.1',)",0.028990396235732595
"('848.2',)",0.02711404195794595
"('848.3',)",0.025225877558026688
"('852r.1',)",0.024509426523485017
"('862.2',)",0.01351715488669382
"('846.3',)",0.0077532685060051725
"('852r.3',)",0.0028766098386309755
"('890.2',)",0.0015848927543654723
"('864.1',)",0.0015776583359107701
"('890.1',)",0.001441681660196081
"('890.3',)",0.0014135498602207129
"('838.2',)",0.001054887482580719
"('852.3',)",0.0009948045499714236
"('852.2',)",0.0009948045499714236
"('852r.2',)",6.68529372018663e-06
